Date,Price,Open,High,Low,Vol.,Change %
2023-01-02,183.92,182.93,184.8,182.74,,0.65%
2023-01-03,184.92,184.09,185.41,183.73,,0.54%
2023-01-04,184.47,185.04,185.24,184.24,,-0.24%
2023-01-05,185.1,184.56,185.87,183.93,,0.34%
2023-01-06,183.26,185.2,185.77,183.06,,-0.99%
2023-01-09,182.92,183.45,183.87,182.24,,-0.19%
2023-01-10,183.01,183.05,184.14,182.77,,0.05%
2023-01-11,183.5,183.12,184.48,182.65,,0.27%
2023-01-12,183.82,183.51,185.06,183.08,,0.17%
2023-01-13,184.53,183.94,185.13,183.09,,0.39%
2023-01-16,184.35,184.56,184.9,183.65,,-0.10%
2023-01-17,182.62,184.45,184.49,182.48,,-0.94%
2023-01-18,183.31,182.66,183.84,181.74,,0.38%
2023-01-19,181.74,183.46,183.96,181.68,,-0.86%
2023-01-20,181.07,181.88,182.6,181.26,,-0.37%
2023-01-23,181.24,181.35,181.85,180.55,,0.09%
2023-01-24,181.62,181.35,182.48,181.13,,0.21%
2023-01-25,181.62,181.74,182.46,181.34,,0.00%
2023-01-26,181.51,181.74,182.13,181.18,,-0.06%
2023-01-27,181.19,181.63,182.26,180.88,,-0.18%
2023-01-30,182.41,181.32,182.62,181.03,,0.67%
2023-01-31,182.57,182.51,183.38,181.79,,0.09%
2023-02-01,181.26,182.65,182.74,181.01,,-0.72%
2023-02-02,181.83,181.29,182.35,180.34,,0.31%
2023-02-03,184.09,181.99,184.56,181.7,,1.24%
2023-02-06,185.36,184.11,186.01,183.25,,0.69%
2023-02-07,184.82,185.63,186.24,184.57,,-0.29%
2023-02-08,185.61,184.88,186.19,184.23,,0.43%
2023-02-09,186.41,185.72,186.74,185.25,,0.43%
2023-02-10,186.06,186.54,186.9,185.3,,-0.19%
2023-02-13,186.51,185.96,187.55,185.96,,0.24%
2023-02-14,186.36,186.62,186.84,185.22,,-0.08%
2023-02-15,187.24,186.41,188.13,186.33,,0.47%
2023-02-16,187.91,187.38,188.74,186.75,,0.36%
2023-02-17,188.65,188.02,189.6,187.96,,0.39%
2023-02-20,189.03,188.94,189.35,188.29,,0.20%
2023-02-21,189.87,189.12,190.62,188.26,,0.44%
2023-02-22,188.96,190.02,190.16,188.4,,-0.48%
2023-02-23,187.86,189.06,189.57,187.49,,-0.58%
2023-02-24,188.91,187.9,189.55,187.65,,0.56%
2023-02-27,189.64,188.98,190.4,188.66,,0.39%
2023-02-28,190.79,189.84,191.15,189.26,,0.61%
2023-03-01,189.95,190.88,191.04,189.16,,-0.44%
2023-03-02,189.49,190.1,190.9,189.49,,-0.24%
2023-03-03,187.52,189.63,189.75,187.35,,-1.04%
2023-03-06,187.12,187.35,188.21,187.04,,-0.21%
2023-03-07,189.22,187.28,189.61,186.87,,1.12%
2023-03-08,189.31,189.34,189.9,188.51,,0.05%
2023-03-09,190.27,189.42,190.64,189.13,,0.51%
2023-03-10,191.06,190.36,191.41,188.96,,0.42%
2023-03-13,189.35,191.01,191.23,188.37,,-0.90%
2023-03-14,189.75,189.43,191.24,189.33,,0.21%
2023-03-15,190.08,189.9,191.65,188.43,,0.17%
2023-03-16,188.53,190.15,190.68,188.65,,-0.82%
2023-03-17,189.94,188.72,190.16,188.5,,0.75%
2023-03-20,189.59,190.09,190.7,188.68,,-0.18%
2023-03-21,189.29,189.56,190.65,189.27,,-0.16%
2023-03-22,188.61,189.39,190.21,187.27,,-0.36%
2023-03-23,188.57,188.58,189.01,186.5,,-0.02%
2023-03-24,188.49,188.66,190.11,187.96,,-0.04%
2023-03-27,188.47,188.59,189.73,188.38,,-0.01%
2023-03-28,188.65,188.57,189.18,187.84,,0.10%
2023-03-29,189.5,188.73,189.99,188.35,,0.45%
2023-03-30,188.65,189.79,189.95,188.57,,-0.45%
2023-03-31,190.11,188.74,190.49,187.82,,0.77%
2023-04-03,190.23,190.2,191.85,190.09,,0.06%
2023-04-04,190.37,190.27,191.43,189.66,,0.07%
2023-04-05,191.39,190.49,191.63,190.23,,0.54%
2023-04-06,191.74,191.49,192.22,191.09,,0.18%
2023-04-07,191.53,191.83,192.05,191.26,,-0.11%
2023-04-10,191.88,191.6,192.59,191.45,,0.18%
2023-04-11,191.95,191.96,192.36,191.21,,0.04%
2023-04-12,192.34,192.02,192.97,191.61,,0.20%
2023-04-13,189.46,192.46,193.12,189.18,,-1.50%
2023-04-14,189.71,189.57,190.4,188.93,,0.13%
2023-04-17,191.7,189.83,192.3,189.73,,1.05%
2023-04-18,191.83,191.79,192.15,191.32,,0.07%
2023-04-19,193.09,191.9,193.76,191.05,,0.66%
2023-04-20,192.56,193.17,193.59,191.6,,-0.27%
2023-04-21,192.8,192.64,193.4,192.24,,0.12%
2023-04-24,193.2,192.99,193.75,192.71,,0.21%
2023-04-25,193.41,193.28,193.99,192.59,,0.11%
2023-04-26,193.14,193.48,193.63,192.77,,-0.14%
2023-04-27,193.37,193.23,194.34,192.98,,0.12%
2023-04-28,193.51,193.48,194.01,193.17,,0.07%
2023-05-01,194.15,193.6,194.43,193.35,,0.33%
2023-05-02,194.15,194.31,194.46,193.48,,0.00%
2023-05-03,193.03,194.24,194.32,192.32,,-0.58%
