"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2023","80.53","80.59","80.62","80.25","","-0.02%"
"01/03/2023","77.14","80.53","81.55","76.70","","-4.21%"
"01/04/2023","73.42","77.15","77.44","72.82","","-4.82%"
"01/05/2023","74.02","73.42","74.98","72.52","","0.82%"
"01/06/2023","73.75","74.00","75.50","73.31","","-0.36%"
"01/08/2023","74.14","73.67","74.18","73.67","","0.53%"
"01/09/2023","74.73","74.13","76.75","74.10","","0.80%"
"01/10/2023","74.62","74.75","75.95","73.89","","-0.15%"
"01/11/2023","77.73","74.61","77.84","74.33","","4.17%"
"01/12/2023","78.36","77.75","79.18","77.14","","0.81%"
"01/13/2023","80.11","78.38","80.14","78.00","","2.23%"
"01/15/2023","79.84","80.25","80.25","79.83","","-0.34%"
"01/16/2023","78.84","79.83","79.98","78.62","","-1.25%"
"01/17/2023","80.75","78.83","81.30","78.77","","2.42%"
"01/18/2023","79.25","80.75","82.45","79.04","","-1.86%"
"01/19/2023","80.83","79.23","81.29","78.28","","1.99%"
"01/20/2023","81.53","80.81","81.71","79.75","","0.87%"
"01/22/2023","81.06","81.61","81.72","81.00","","-0.58%"
"01/23/2023","81.44","81.08","82.44","80.91","","0.47%"
"01/24/2023","80.02","81.45","82.06","79.50","","-1.74%"
"01/25/2023","80.36","80.01","81.04","79.31","","0.42%"
"01/26/2023","81.00","80.39","81.97","79.78","","0.80%"
"01/27/2023","79.27","80.98","82.33","78.92","","-2.14%"
"01/29/2023","80.20","79.91","80.36","79.75","","1.17%"
"01/30/2023","77.83","80.22","80.31","77.55","","-2.96%"
"01/31/2023","79.03","77.83","79.12","76.44","","1.54%"
"02/01/2023","76.70","79.00","79.61","75.94","","-2.95%"
"02/02/2023","75.86","76.69","77.14","74.87","","-1.10%"
"02/03/2023","73.10","75.88","77.89","73.02","","-3.64%"
"02/05/2023","73.39","73.16","73.59","73.14","","0.40%"
"02/06/2023","74.44","73.39","74.53","72.18","","1.43%"
"02/07/2023","77.45","74.42","77.54","74.28","","4.04%"
"02/08/2023","78.42","77.44","78.49","77.05","","1.25%"
"02/09/2023","77.61","78.42","78.75","76.47","","-1.03%"
"02/10/2023","79.68","77.61","80.25","77.42","","2.67%"
"02/12/2023","79.31","79.81","79.94","79.19","","-0.46%"
"02/13/2023","79.19","79.30","80.56","78.41","","-0.15%"
"02/14/2023","78.79","79.17","79.58","77.44","","-0.51%"
"02/15/2023","78.55","78.78","79.14","77.27","","-0.30%"
"02/16/2023","77.84","78.56","79.53","77.78","","-0.90%"
"02/17/2023","76.31","77.83","78.28","75.12","","-1.97%"
"02/19/2023","76.48","76.52","76.64","76.34","","0.22%"
"02/20/2023","77.11","76.50","77.55","76.14","","0.82%"
"02/21/2023","76.05","77.11","77.44","75.73","","-1.37%"
"02/22/2023","73.80","76.03","76.38","73.64","","-2.96%"
"02/23/2023","75.47","73.78","75.81","73.72","","2.26%"
"02/24/2023","76.31","75.47","76.45","73.95","","1.11%"
"02/26/2023","76.50","76.30","76.61","76.30","","0.25%"
"02/27/2023","75.60","76.48","76.66","74.86","","-1.18%"
"02/28/2023","76.53","75.61","77.67","75.42","","1.23%"
"03/01/2023","77.52","76.53","77.69","76.00","","1.29%"
"03/02/2023","77.81","77.50","78.46","77.11","","0.37%"
"03/03/2023","79.75","77.83","79.77","75.73","","2.49%"
"03/05/2023","79.28","79.59","79.64","79.23","","-0.59%"
"03/06/2023","80.42","79.30","80.52","78.23","","1.44%"
